Dimension,Name,Adjective,Demonym
Continent,Afro-Eurasia,Afro-Eurasian,Afro-Eurasians
Continent,Africa,African,Africans
Continent,Eurasia,Eurasian,Eurasians
Continent,Asia,Asian,Asians
Continent,Middle East,Middle Eastern,Middle Easterners
Continent,Europe,European,Europeans
Continent,America,American,Americans
Continent,North America,North American,North Americans
Continent,Caribbean,Caribbean,Caribbeans
Continent,West Indies,West Indian,West Indians
Continent,Central America,Central American,Central Americans
Continent,Northern America,Northern American,Northern Americans
Continent,South America,South American,South Americans
Continent,Antarctica,Antarctic,Antarcticans
Continent,Oceania,Oceanian,Oceanians
Continent,Australasia,Australasian,Australasians
Continent,Australia,Australian,Australians
Continent,Zealandia,Zealandian,Zealandians
Continent,Pacific Islands,Pacific Islands,Pacific Islanders
Region-Africa,Cyrenaica,Cyrene,Cyrenes
Region-Africa,Darfur,Darfur,Darfuris
Region-Africa,Maghreb,Maghreb,Maghrebis
Region-Africa,Mediterranean,Mediterranean,
Region-Africa,Nile River,Nilotic,
Region-Africa,Nubia,Nubian,Nubians
Region-Africa,Sahara,Saharan,Sahrawi
Region-Africa,Zanzibar,Zanzibar,Zanzibaris
Region-America,Acadia,Acadian,Acadians
Region-America,"Acadiana, Cajun Country","Acadian, Cajun",Cajuns
Region-America,Aleutian Islands,"Aleut, Aleutian","Aleuts, Aleutians"
Region-America,Amazon river and Amazon region,Amazonian,
Region-America,Andes,Andean,
Region-America,Antilles,Antillean,Antilleans
Region-America,Appalachia,Appalachian,
Region-America,Caribbean,Caribbean,
Region-America,Cascadia,Cascadian,Cascadians
Region-America,Ceara,Cearense,Cearenses
Region-America,Guiana,Guianan,Guianans
Region-America,Long Island,Long Island,Long Islanders
Region-America,Maritimes,Maritime,Maritimers
Region-America,Minas Gerais,Mineiro,Mineiros
Region-America,New England,New England,New Englanders
Region-America,Patagonia,Patagonian,Patagonians
Region-America,Parana,Paranaense,Paranaenses
Region-America,Rio de Janeiro,Fluminense,Fluminenses
Region-America,Rio Grande do Sul,"Sul-rio-grandense, Gaúcho",Gaúchos
Region-America,St. Lawrence River,Laurentian,
Region-America,Santa Catarina,"Catarinense, Barriga-verde","Catarinenses, Barrigas-verdes"
Region-America,São Paulo,Paulista,Paulistas
Region-America,Upper Peninsula of Michigan,,Yoopers
Region-America,West Indies,West Indian,West Indians
Region-Asia,Bali,Balinese,Balinese
Region-Asia,"Balochistan, Baluchistan",,"Balochi, Baluchi"
Region-Asia,Bangsamoro,,Moro
Region-Asia,Bengal,Bengali,Bengalis
Region-Asia,Bicol,"Bicol, Bicolano",Bicolanos
Region-Asia,Bihar,Bihari,Biharis
Region-Asia,Borneo,Bornean,Borneans
Region-Asia,"Caucasus, Caucasia","Caucasian, Caucasic",Caucasians
Region-Asia,Central Asia,Central Asian,Central Asians
Region-Asia,Flores,Floresian,
Region-Asia,Gujarat,Gujarati,Gujaratis
Region-Asia,Himalayas,Himalayan,
Region-Asia,Hokkaidō,,Dosanko
Region-Asia,Indochina,Indochinese,Indochinese
Region-Asia,"Java, Pasundan","Javanese, Sundanese","Javanese, Sundanese"
Region-Asia,Kashmir,Kashmiran,Kashmiris
Region-Asia,Korea,Korean,Koreans
Region-Asia,Kumaon,Kumaoni,"Kumaiye, Kumaonis"
Region-Asia,Luzon,Luzones,Luzones
Region-Asia,Melanesia,Melanesian,Melanesians
Region-Asia,Moluccas,Moluccan,Moluccans
Region-Asia,Mindanao,Mindanaoan,Mindanaoans
Region-Asia,Negros,,"Negrenses, Negrosanons"
Region-Asia,"Okinawa, Ryukyu Islands","Okinawan, Ryukyuan","Okinawans, Ryukyuans"
Region-Asia,Punjab,Punjabi,Punjabis
Region-Asia,Siberia,Siberian,Siberians
Region-Asia,Indian subcontinent,Subcontinental,Desis
Region-Asia,Sulawesi,Sulawesian,Sulawesians
Region-Asia,Sumatra,Sumatran,Sumatrans
Region-Asia,Sylhet,Sylheti,Sylhetis
Region-Asia,Tibet,Tibetan,Tibetans
Region-Asia,Visayas,Visayan,Visayans
Region-Middle_East,Arabia,"Arab, Arabian","Arabs, Arabians"
Region-Middle_East,Galilee,Galilean,Galileans
Region-Middle_East,"Judea, Judaea","Judean, Judaean","Judeans, Judaeans"
Region-Middle_East,Levant,Levantine,Levantines
Region-Middle_East,Kurdistan,Kurdish,Kurds
Region-Middle_East,Samaria,Samaritan,Samaritans
Region-Oceania,Antipodes,Antipodean,Antipodeans
Region-Oceania,Melanesia,Melanesian,Melanesians
Region-Oceania,Micronesia,Micronesian,Micronesians
Region-Oceania,Polynesia,Polynesian,Polynesians
Region-Oceania,Tahiti,Tahitian,Tahitians
Region-Europe,Alps,Alpine,
Region-Europe,Alsace,Alsatian,Alsatians
Region-Europe,Andalusia,Andalusian,Andalusians
Region-Europe,Apennines,Apennine,
Region-Europe,Apulia,Apulian,Apulians
Region-Europe,Aragon,Aragonese,Aragonese
Region-Europe,Asturias,Asturian,Asturians
Region-Europe,Balkans,Balkan,
Region-Europe,Baltic region,Baltic,Balts
Region-Europe,Bavaria,Bavarian,Bavarians
Region-Europe,Basque Country,Basque,Basques
Region-Europe,Bessarabia,Bessarabian,Bessarabians
Region-Europe,"Black Sea region, Chornomoriia","Black Sea, Chornomorian",Black Sea Cossacks
Region-Europe,Bohemia,Bohemian,Bohemians
Region-Europe,"Boyko region, Boikivshchyna",Boyko,Boykos
Region-Europe,"Bukovina, Bukovyna","Bukovinian, Bukovinan","Bukovinians, Bukovinans"
Region-Europe,Brittany,Breton,Bretons
Region-Europe,Burgundy,Burgundian,Burgundians
Region-Europe,Calabria,Calabrian,Calabrians
Region-Europe,Cambridge,Cantabrigian,Cantabrigians
Region-Europe,Campania,Campanian,Campanians
Region-Europe,Cantabria,Cantabrian,Cantabrians
Region-Europe,Canterbury,Cantuarian,Cantuarians
Region-Europe,Carinthia,Carinthian,Carinthians
Region-Europe,Carpathians,Carpathian,
Region-Europe,Castile,Castilian,Castilians
Region-Europe,Catalonia,Catalan,Catalans
Region-Europe,"Caucasus, Caucasia","Caucasian, Caucasic",Caucasians
Region-Europe,Ciscarpathia,Ciscarpathian,
Region-Europe,Cornwall,Cornish,Cornish
Region-Europe,Corsica,Corsican,Corsicans
Region-Europe,Courland,Curonian,Curonians
Region-Europe,Crete,Cretan,Cretans
Region-Europe,Crimea,Crimean,Crimeans
Region-Europe,Cumbria,Cumbrian,Cumbrians
Region-Europe,Dalmatia,Dalmatian,Dalmatians
Region-Europe,Danube River,Danubian,
Region-Europe,Dnieper Ukraine,Dniprian,Dniprians
Region-Europe,Extremadura,Extremaduran,Extremadurans
Region-Europe,Fife,Fife,Fifers
Region-Europe,Flanders,Flemish,Flemings
Region-Europe,Franconia,Franconian,Franconians
Region-Europe,"Friesland, Frisian Islands","Friesian, Frisian","Friesians, Frisians"
Region-Europe,Galicia,Galician,Galicians
Region-Europe,Galloway,Gallovidian,Gallovidians
Region-Europe,Gascony,Gascon,Gascons
Region-Europe,Gotland,Gotland,Gotlanders
Region-Europe,Gozo,Gozitan,Gozitans
Region-Europe,Harrow,Harrovian,Harrovians
Region-Europe,Hesse,Hessian,Hessians
Region-Europe,Holstein,Holsteinian,Holsteiners
Region-Europe,"Hutsul region, Hutsulshchyna",Hutsul,Hutsuls
Region-Europe,Iberian Peninsula,Iberian,Iberians
Region-Europe,Istria,Istrian,Istrians
Region-Europe,Jutland,Jutland,Jutlanders
Region-Europe,Karelia,Karelian,Karelians
Region-Europe,Kosovo and Methohija,"Kosovar, Kosovan","Kosovars, Kosovans"
Region-Europe,Kuban,Kuban,"Kubanians, Kuban Cossacks"
Region-Europe,"Left-bank Ukraine, Little Russia, Hetmanshchyna, Hetmania","Ukrainian, Little Russian","Hetmanians, hetmantsi, Little Russians, Ukrainians"
Region-Europe,"Lemko region, Lemkivshchyna","Lemkian, Lemk","Lemkos, Lemkians, Lemks"
Region-Europe,Lancashire,Lancastrian,Lancastrians
Region-Europe,Lapland,"Lapp, Saami","Lappish, Saamis"
Region-Europe,León,Leonese,Leoneses
Region-Europe,Lombardy,"Lombard, Lombardic",Lombards
Region-Europe,Lorraine,Lorrainian,Lorrainians
Region-Europe,Lusatia,Lusatian,Lusatians
Region-Europe,"Majorca, Mallorca","Majorcan, Mallorcan","Majorcans, Mallorcans"
Region-Europe,Mediterranean,Mediterranean,
Region-Europe,Menorca,Menorcan,Menorcans
Region-Europe,Moravia,Moravian,Moravians
Region-Europe,Murcia,Murcian,Murcians
Region-Europe,Navarre,Navarrese,Navarrese
Region-Europe,Normandy,Norman,Normans
Region-Europe,"Northumberland, Northumbria",Northumbrian,Northumbrians
Region-Europe,Orkney,Orcadian,Orcadians
Region-Europe,Palatinate,Palatine,Palatines
Region-Europe,Peloponnese,Peloponnesian,Peloponnesians
Region-Europe,Pennines,Pennine,
Region-Europe,Picardy,Picard,Picards
Region-Europe,Piedmont,Piedmontese,Piedmontese
Region-Europe,Po River,Padane,
Region-Europe,"Podolia, Podillia","Podolian, Podillian","Podolians, Podillians"
Region-Europe,Pokuttia,Pokuttian,
Region-Europe,"Polesia, Polissia","Polesian, Polissian","Poleshuks, Poleshchuks"
Region-Europe,Pomerania,Pomeranian,Pomeranians
Region-Europe,Provence,Provençal,
Region-Europe,Pyrenees,Pyrenean,
Region-Europe,Rhineland,Rhenish,Rhinelanders
Region-Europe,"Right-bank Ukraine, Trans-Dnieper Ukraine","Trans-Dnieper, Trans-Dniprian",
Region-Europe,Rus',"Rus', Ruthenian, Ruthene, Rus'ian, Russian","Rus', rusichi, Ruthenians, Ruthenes, East Slavs, Ukrainians, Belarusians, Russians"
Region-Europe,Ruthenia,"Ruthenian, Ruthene","Ruthenians, Ruthenes, Rusyns, Rusnaks"
Region-Europe,Samogitia,Samogitian,Samogitians
Region-Europe,Sardinia,Sardinian,Sardinians
Region-Europe,Savoy,Savoyard,Savoyards
Region-Europe,Saxony,Saxon,Saxons
Region-Europe,Scandinavia,Scandinavian,Scandinavians
Region-Europe,Scania,Scanian,Scanians
Region-Europe,Shetland,Shetland,Shetlanders
Region-Europe,Sicily,Sicilian,Sicilians
Region-Europe,Silesia,Silesian,Silesians
Region-Europe,"Sloboda Ukraine, Slobozhanshchyna","Sloboda Ukrainian, Slobozhanian","Sloboda Cossacks, Sloboda Ukrainians, Slobozhanians"
Region-Europe,Styria,Styrian,Styrians
Region-Europe,Subcarpathia,Subcarpathian,
Region-Europe,Thrace,Thracian,Thracians
Region-Europe,Thuringia,Thuringian,Thuringians
Region-Europe,Transcarpathia,Transcarpathia,
Region-Europe,Transylvania,Transylvanian,Transylvanians
Region-Europe,Tuscany,Tuscan,Tuscans
Region-Europe,Tyrol,"Tyrolean, Tyrolese","Tyroleans, Tyrolese"
Region-Europe,Umbria,Umbrian,Umbrians
Region-Europe,Veneto,Venetian,Venetians
Region-Europe,Volhynia,Volhynian,Volhynians
Region-Europe,Wallachia,Wallachian,Wallachians
Region-Europe,Wallonia,Walloon,Walloons
Region-Europe,Westphalia,Westphalian,Westphalians
Region-Europe,"Zaporizhzhia, Zaporozhian Ukraine",Zaporozhian,Zaporozhians
Region-Europe,Zeeland,Zeeland,Zeelanders
Region-US, Alabama,,Alabamian
Region-US, Alaska,,Alaskan
Region-US, American Samoa,,American Samoan
Region-US, Arizona,,Arizonan
Region-US, Arkansas,,Arkansan
Region-US, California,,Californian
Region-US, Colorado,,Coloradan
Region-US, Connecticut,,Connecticuter
Region-US, Delaware,,Delawarean
Region-US, District of Columbia,,Washingtonian
Region-US, Florida,,Floridian
Region-US, Georgia,,Georgian
Region-US, Guam,,Guamanian
Region-US, Hawaii,,Hawaiian
Region-US, Idaho,,Idahoan
Region-US, Illinois,,Illinoisan
Region-US, Indiana,,Hoosier
Region-US, Iowa,,Iowan
Region-US, Kansas,,Kansan
Region-US, Kentucky,,Kentuckian
Region-US, Louisiana,,Louisianian
Region-US, Maine,,Mainer
Region-US, Maryland,,Marylander
Region-US, Massachusetts,,Massachusettsan
Region-US, Michigan,,Michiganian
Region-US, Minnesota,,Minnesotan
Region-US, Mississippi,,Mississippian
Region-US, Missouri,,Missourian
Region-US, Montana,,Montanan
Region-US, Nebraska,,Nebraskan
Region-US, Nevada,,Nevadan
Region-US, New Hampshire,,New Hampshirite
Region-US, New Jersey,,New Jerseyan
Region-US, New Mexico,,New Mexican
Region-US, New York,,New Yorker
Region-US, North Carolina,,North Carolinian
Region-US, North Dakota,,North Dakotan
Region-US, Northern Mariana Islands,,Mariana Islander
Region-US, Ohio,,Ohioan
Region-US, Oklahoma,,Oklahoman
Region-US, Oregon,,Oregonian
Region-US, Pennsylvania,,Pennsylvanian
Region-US, Puerto Rico,,Puerto Rican
Region-US, Rhode Island,,Rhode Islander
Region-US, South Carolina,,South Carolinian
Region-US, South Dakota,,South Dakotan
Region-US, Tennessee,,Tennessean
Region-US, Texas,,Texan
Region-US, Utah,,Utahn
Region-US, Vermont,,Vermonter
Region-US, Virgin Islands,,Virgin Islander
Region-US, Virginia,,Virginian
Region-US, Washington,,Washingtonian
Region-US, West Virginia,,West Virginian
Region-US, Wisconsin,,Wisconsinite
Region-US, Wyoming,,Wyomingite
City,Aalborg,Aalborgenser,Aalborgenser
City,Aarhus,Aarhusian,Aarhusian
City,Aberdeen,Aberdonian,Aberdonian
City,Abidjan,Abidjanais,Abidjanais
City,Adana,Adanite,Adanite
City,Adelaide,Adelaidean,Adelaidean
City,Ahmedabad,Amdavadi,Amdavadi
City,Aguascalientes,Hidrocálido,Hidrocálido
City,Agde,Agathois,Agathois
City,Aix-en-Provence,Aixois,Aixois
City,Albany,Albanian,Albanian
City,Albuquerque,Albuquerquean,Burqueño
City,Aleppo,Aleppine,Aleppine
City,Alexandria,Alexandrian,Alexandrine
City,Almería,"Almerian, Almeriense, Urcitano","Almerian, Almeriense, Urcitano"
City,Alpine,Alpinian,Alpinian
City,Amalfi,Amalfitan,Amalfitan
City,Amman,Ammani,Ammani
City,Ammon,Ammonite,Ammonite
City,Amparo,Amparense,Amparense
City,Amsterdam,Amsterdammer,Amsterdammer
City,Anchorage,Anchorageite,Anchorageite
City,Andong,"Andong, Andongite",Andongite
City,Ankara,Ankarite,Ankarite
City,Angeles,Angelino,Angelino
City,Angers,Anjou,Angevin
City,Annapolis,Annapolitan,Annapolitan
City,Antakya,"Antakyan, Antiochian","Antakyan, Antiochian"
City,Antalya,Antalyan,Antalyan
City,Aosta,"Aostan, Aostain","Aostan, Aostain"
City,Aqaba,Aqabawi,Aqabawi
City,Arequipa,"Arequipeño, Arequipeña","Arequipeño, Arequipeña"
City,Armagh,Armachian,Armachian
City,Armidale,Armidilian,Armidilian
City,Ashdod,Ashdodi,Ashdodi
City,Asheville,Ashevillain,Ashevillain
City,Ashkelon,Ashkelonian,Ashkelonian
City,Asmara,Asmaran,Asmaran
City,Asunción,Asunceno,Asunceno
